"address","address_in_count","sum_granted","max_granted","min_granted","avg_granted","max_input_index","min_input_index","avg_input_index","max_output_index","min_output_index","avg_output_index"
"111rayuAUmxSh1DhQjn5fERk5qi9Tp5hd",1,10200,10200,10200,10200.0,38,38,38.0,1,1,1.0
"11244bDC6MbpQwzkofNyHKJUpTvMSmdaPv",4,725764,258805,123427,181441.0,77,30,58.5,2,0,1.0
"1127ruUFmD6mJesfvEkRqcqufJbcgRkzaQ",6,3254250,826076,183357,542375.0,98,13,46.0,6,1,3.3333333333333335
"1129kyeRZLvvyt9wKXfszprCme5vUxPGEU",1,187029,187029,187029,187029.0,157,157,157.0,2,2,2.0
"112agXBu72qPgYErvqqEqgRropHacJfH2p",1,20000000,20000000,20000000,20000000.0,21,21,21.0,0,0,0.0
"112aMbzaifSzz17dt4iieNBNRaNMPMsBhN",1,5000000,5000000,5000000,5000000.0,6,6,6.0,1,1,1.0
"112d3YxaF4hQ97y3PQqrFSm4gtej151n5v",9,3564284,788263,93476,396031.55555555556,83,19,42.333333333333336,7,1,4.333333333333333
"112KZzMNZdBhTZmswzyn5HJHusQNut5HMi",1,153888,153888,153888,153888.0,270,270,270.0,0,0,0.0
"112MpvBrfpEm6AQoUEZ6X5rGJDjCMWMzdU",1,120220,120220,120220,120220.0,71,71,71.0,0,0,0.0
"112THsEt2X7ih88ozzk9AraDCdyLT1Y7hT",1,784175,784175,784175,784175.0,15,15,15.0,1,1,1.0
"112tRcGT8bxhkgQARdSGqUHvvnP4exTqS7",1,362281,362281,362281,362281.0,235,235,235.0,0,0,0.0
"112TUjgnx3VH3Rded3sHF7Ps2ziNSV7kTM",1,207405,207405,207405,207405.0,72,72,72.0,0,0,0.0
"112yDjsRAfxpArzropFt6L6j5bYbCu4DA1",1,7232877,7232877,7232877,7232877.0,19,19,19.0,21,21,21.0
"1138ue28jT9N8dVn3SXLuBc9jCEPziCGF9",1,35543,35543,35543,35543.0,1,1,1.0,43,43,43.0
"1139fSvd8LgtdPhzHoWQnnT1yKTJE3C2Ma",8,12234153,4991028,110000,1529269.125,99,8,44.875,18,0,5.25
"113f9yzSHbnup4uFwrT9ZDvMjv66Tf1rT8",1,2749260,2749260,2749260,2749260.0,28,28,28.0,2,2,2.0
"113gSmddMVimpqPBQkAb7zt4yRxTMwnmu2",1,1684821,1684821,1684821,1684821.0,62,62,62.0,16,16,16.0
"113JHmkfYtJcT1d24gT3xpJ92WkokKCFL1",1,684940,684940,684940,684940.0,25,25,25.0,2,2,2.0
"113jsqzj6yqQJUGs6F6DLhqWnZasHHU5zh",2,2706549,1403600,1302949,1353274.5,18,3,10.5,1,1,1.0
"113MYKFk975awKzmkbpePeqd8DfKFWbwy8",1,13180,13180,13180,13180.0,203,203,203.0,1,1,1.0
"113NRi2kyzaHYVbENrzraTLe7QaYfc3odm",1,576278,576278,576278,576278.0,35,35,35.0,44,44,44.0
"113V6VChQhXdu3dnhsiGepTGrreZQwPW2L",1,218986,218986,218986,218986.0,2,2,2.0,1,1,1.0
"113vniaUVu92bXPTK6dtqkQziNrfr75N8p",7,2006378,338817,205976,286625.4285714286,49,3,34.0,5,0,1.8571428571428572
"113vPzG2j98KnAnkhvdN7bZheup3ADPYox",6,38143,20000,1000,6357.166666666667,59,6,45.166666666666664,1248,0,491.8333333333333
"1142hafQh6ifVZ7dnoZN1xSFmBQrBUjyzE",1,1001173,1001173,1001173,1001173.0,3,3,3.0,0,0,0.0
"1147RS1uv5aTibELnk5T73TG9kbcEGA3oj",1,193000,193000,193000,193000.0,195,195,195.0,1,1,1.0
"11493hQVDPxfPFoiH686CYojoBBw8EZsei",1,29849,29849,29849,29849.0,88,88,88.0,0,0,0.0
"114AKxJDe5cMii3rFsVWJjmtBe9FmEzC6L",1,328061,328061,328061,328061.0,171,171,171.0,0,0,0.0
"114esMhGDFnModZfdsjp8tsZoTZpVGLfcx",1,78204964,78204964,78204964,78204964.0,318,318,318.0,1,1,1.0
"114EyHTWS5cX4hdKqH72j54N88aUgPAeTi",1,1878404,1878404,1878404,1878404.0,257,257,257.0,1,1,1.0
"114GAjBseHHwGDRWrB45dDLVULHoczvLVu",3,6915139,3402000,1122139,2305046.3333333335,12,0,6.666666666666667,21,1,11.666666666666666
"114i1mQPpA4JmNrAXLoqVZ6s4Sy9Tm5ELQ",2,274853,258235,16618,137426.5,70,37,53.5,15,6,10.5
"114iJJXQS7cYHoYWtrWU3MRobVvGv42imQ",1,172800,172800,172800,172800.0,52,52,52.0,1,1,1.0
"114iyrTbcRQdJrD8iUeFAQbRgM8XNuyFM5",1,1150918,1150918,1150918,1150918.0,43,43,43.0,0,0,0.0
"114KoNLXe7t4nogQP5gHfhWRm5TeXvWeLf",1,159507,159507,159507,159507.0,298,298,298.0,1,1,1.0
"114n7AAmZmo96kbVHZ7RLrhTc5134qnPs5",3,1151432862,913743214,10767,383810954.0,1,0,0.3333333333333333,1,0,0.3333333333333333
"114pPmTxyvuVs4moCMnGLMSQDbkU7Bo1Lk",52,34615667,1179786,546662,665685.9038461539,24,0,7.730769230769231,1096,730,911.2307692307693
"114Qrt93bvb8kCw5gLUEiPuFb15xn1x94B",1,101807,101807,101807,101807.0,43,43,43.0,1,1,1.0
"114QX7ErwdQzufuUNAC2LfB6sTzAtrUMRY",1,24563,24563,24563,24563.0,259,259,259.0,0,0,0.0
"114sgCWCfhBjDy5mxEBSpJe7SRAZw7mHHo",3,2928758715,1499144365,492794476,976252905.0,0,0,0.0,1,1,1.0
"114tjzho9yvGnpyaq55Hn8URyewdapMbZ7",2,2142991,1172109,970882,1071495.5,69,36,52.5,8,4,6.0
"114ubNrzfaWm35GXXKqMg3mT6zDdqQZEd7",16,9057910,883900,400000,566119.375,94,8,50.5625,8,0,0.9375
"114W8NxGQxB5khGNMqNbhZqPF7WqYSHpGP",1,59046,59046,59046,59046.0,249,249,249.0,0,0,0.0
"114wtAUWQh9ZPJSd48yynm51iFxjCRR9wp",2,1163144,1098286,64858,581572.0,38,36,37.0,0,0,0.0
"114Wva33rc2Yrs5RDpcwi3LK8tBfwKKjwb",1,110000,110000,110000,110000.0,220,220,220.0,0,0,0.0
"114X7ET9Pxxm8kmX1qJRx2xSEhfABGmhfN",1,7876620,7876620,7876620,7876620.0,8,8,8.0,0,0,0.0
"114xED6tpiEWondUCZFwKv46K4UhphmxRf",7,1266510,350000,104629,180930.0,89,34,57.714285714285715,49,0,11.571428571428571
"114zpboY473ACw5iQ4aeDic7bohkQHSNfE",1,9811,9811,9811,9811.0,130,130,130.0,0,0,0.0
"1152Kb3QYehNUcmQd9Cr8JwVqN4ZsWZb4M",1,800000,800000,800000,800000.0,24,24,24.0,0,0,0.0
"1153W2WUzicK3R3ZH6j7AGMWPbzarKonzY",3,1046190,492758,205267,348730.0,4,2,3.0,0,0,0.0
"1154z8fU78fnQSGuXavTn75TnJNtVB51Ux",1,688049,688049,688049,688049.0,64,64,64.0,10,10,10.0
"115B1aVSLNu1kHAURuXPAFePywC4xQV9y8",1,1722489,1722489,1722489,1722489.0,88,88,88.0,0,0,0.0
"115bpTYGCxhJUKTWHfMPS3gCctLrrCNrui",11,8004760,1200000,40000,727705.4545454546,94,13,57.54545454545455,19,5,13.272727272727273
"115budmsYZr3hDHyxvETeDsNdxthwaQjUU",5,1544933,1292573,42659,308986.6,37,6,25.6,0,0,0.0
"115dEQGQ4XwyZ5CcLUkaBzmVpCzpB2SQUg",1,61713,61713,61713,61713.0,280,280,280.0,0,0,0.0
"115ffBZNcYSemronayMjquZrXUFsqxoEPw",3,4323000,2285000,730000,1441000.0,266,0,88.66666666666667,1,1,1.0
"115gqurgbQLbjt5QpWfrLKQxhjyZFmNB6t",2,2642438,1642438,1000000,1321219.0,222,156,189.0,1,0,0.5
"115Hfv8Qi5wRNLf1W1Zhwj4aSdh16B2LhE",3,1638,546,546,546.0,0,0,0.0,0,0,0.0
"115PgcRmfmfBJhvq8nkfu6YSeuYGtu2ZyM",1,410000,410000,410000,410000.0,197,197,197.0,1,1,1.0
"115sU4Krw8nTjWHojSWfSQQtA8yXKK9mfx",1,262116,262116,262116,262116.0,291,291,291.0,0,0,0.0
"115Wd3mjquQ63r6W3qNQh1AtizWqKwnmhA",5,27494991,5956410,5015500,5498998.2,17,1,11.4,13,0,3.0
"1161VUAsoM9RDzz1cDtjaHfqW945FkQjjT",1,3225,3225,3225,3225.0,4,4,4.0,1921,1921,1921.0
"1163my4jsqbJ73y7CZBttfLqiczkQVAGuN",6,6000000,1000000,1000000,1000000.0,207,0,170.83333333333334,0,0,0.0
"1165CggrWdbNt31raLiZpvQH4wLbFSTTJ7",1,37950000,37950000,37950000,37950000.0,57,57,57.0,2,2,2.0
